# Ordem,Estado,Anos atividade,Região,Receitas,Ativos,Montante,BR,Prazo,# pmts pagas,Taxa ind.,Taxa med,# ofertas
0123,Regular,10,Madeira,"100,000 - 350,000","100,000 - 350,000",10000,C,36,31.0,0.0999,0.09985822054082709,52
0124,Pago,2,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",20000,C,24,24.0,0.0959,0.09588798248834975,142
0125,Pago,17,Alentejo,"100,000 - 350,000","350,000-500,000",10000,B,12,12.0,0.0506,0.05059760021442991,97
0126,Em recuperação,7,Minho e Douro Litoral,"<100,000","100,000 - 350,000",15000,C,24,19.0,0.0959,0.09613233089501405,118
0127,Pago,18,Beira Litoral,"100,000 - 350,000",">=1,500,000",10000,B+,18,18.0,0.0457,0.04569775008498105,109
0128,Pago,5,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",20000,B-,24,24.0,0.0708,0.07920036999943969,164
0129,Pago,45,Beira Interior,"500,000-1,500,000","500,000-1,500,000",15000,B+,18,18.0,0.0457,0.04566817140901207,159
0130,Pago,7,Minho e Douro Litoral,"350,000-500,000","100,000 - 350,000",20000,C,36,36.0,0.0999,0.10299876514326364,84
0131,Regular,3,Minho e Douro Litoral,"500,000-1,500,000","100,000 - 350,000",30000,R,60,14.0,0.1,0.09950828381876364,147
0132,Pago,31,Lisboa,">=1,500,000","500,000-1,500,000",20000,B,24,24.0,0.0609,0.0608723167067234,123
0133,Incobrável,4,Lisboa,"350,000-500,000","350,000-500,000",15000,C,24,9.0,0.0959,0.09588868423584493,102
0134,Regular,6,Beira Litoral,"350,000-500,000","100,000 - 350,000",15000,R,60,18.0,0.1,0.09588251169581935,90
0135,Pago,41,Beira Litoral,"500,000-1,500,000",">=1,500,000",25000,B-,24,24.0,0.0708,0.07080703124998543,212
0136,Regular,8,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",14500,C,36,30.0,0.0999,0.09989979311260996,130
0137,Pago,16,Algarve,"500,000-1,500,000",">=1,500,000",20000,B-,24,24.0,0.0708,0.07079657565495753,193
0138,Pago,7,Beira Litoral,"100,000 - 350,000","100,000 - 350,000",15000,B-,24,24.0,0.0708,0.0826765753648514,144
0139,Pago,10,Lisboa,"100,000 - 350,000","350,000-500,000",20000,B-,24,24.0,0.0708,0.09395148881506482,154
0140,Pago,3,Lisboa,"100,000 - 350,000","100,000 - 350,000",25000,C,18,18.0,0.0907,0.09066312457447943,138
0141,Incobrável,8,Estremadura e Ribatejo,"500,000-1,500,000","100,000 - 350,000",16500,C,36,10.0,0.0999,0.10339805209032615,129
